Color,Continent,Country,GDP,Males %,Females %,Suicide Rate per 1M,Schizophrenia %,Bipolar %,Eating Disorder %,Anxiety %,Depression %,Substance Misuse per 1M
-600,1,Singapore,57714.3,14.62,14.1,8.38,0.29,0.75,0.34,3.88,3.71,12863.91
-400,4,Slovakia,17604.95,15.37,13.58,10.6,0.24,0.68,0.15,3.58,2.65,13546.74
-400,4,Slovenia,23597.29,15.64,14.19,16.12,0.24,0.69,0.15,3.58,3.2,13851.91
-300,6,Solomon Islands,2132.12,13.95,12.92,17.82,0.28,0.43,0.06,3.42,3.43,13271.81
-700,2,Somalia,499.82,17.21,16.01,9.52,0.17,0.62,0.05,3.35,4.31,16458.7
-600,1,South Korea,29742.84,16.18,15.5,25.11,0.28,0.58,0.27,4.14,4,14453.11
-700,2,South Sudan,237.44,16.18,15.1,6.76,0.19,0.63,0.08,3.35,4.25,15459.23
-400,4,Spain,28156.82,17.57,19.03,6,0.3,1.01,0.53,5.6,3.79,16792.18
-600,1,Sri Lanka,4065.22,14.39,13.16,23.69,0.29,0.57,0.11,3.69,3.64,13099.18
-700,2,Sudan,2898.55,16.85,16.6,5.2,0.18,0.8,0.12,5.09,4.1,16504.89
-100,7,Suriname,5900.56,17.33,16.34,24.49,0.19,0.88,0.18,4.24,4.77,16295.98
-700,2,Swaziland,3224.39,17.38,14.75,18.7,0.19,0.6,0.12,3.57,4.57,15911.98
-400,4,Sweden,53442.01,17.69,18.62,12.06,0.3,1.03,0.44,5.39,4.97,16599.3
-400,4,Switzerland,80189.7,16.69,17.38,11.82,0.27,1.12,0.46,5.39,3.87,15789.08
-600,1,Syria,2058.04,16.48,16.53,2.48,0.19,0.86,0.13,5.17,3.87,16044.23
-600,1,Taiwan,25534,14.92,13.04,13.59,0.47,0.35,0.16,3.62,3.22,13128.21
-600,1,Tajikistan,800.97,14.91,12.59,5.35,0.2,0.63,0.07,2.66,2.85,13213.09
-700,2,Tanzania,936.33,16.32,15.11,11.38,0.19,0.62,0.08,3.36,4.18,15486.06
-600,1,Thailand,6593.82,15.19,13.56,10.9,0.29,0.56,0.12,3.65,3.38,13728.12
-300,6,Timor,2279.25,13.79,13.25,7.57,0.25,0.51,0.09,3.54,3.49,13252.1
-700,2,Togo,617.18,15.83,14.75,15.46,0.19,0.63,0.07,2.99,4.19,15129.92
-300,6,Tonga,3944.25,13.69,12.76,7.77,0.31,0.46,0.08,3.53,3.2,12780.55
-100,7,Trinidad and Tobago,16145.18,16.91,15.37,12,0.18,0.89,0.23,4.27,3.93,15521.8
-700,2,Tunisia,3490.83,17.32,16.97,3.73,0.2,0.89,0.17,5.27,4.21,16408.36
-600,1,Turkey,10540.62,16.76,16.69,3.39,0.2,0.89,0.26,4.55,3.89,15966.04
-600,1,Turkmenistan,7355.83,15.11,12.58,8.38,0.22,0.64,0.12,2.73,3.13,13114.53
-700,2,Uganda,604.04,16.98,16.47,20.6,0.18,0.61,0.07,3.22,5.62,16514.71
-400,4,Ukraine,2639.82,17.44,17.06,20.21,0.21,0.65,0.1,2.98,4.52,16284.68
-600,1,United Arab Emirates,40698.85,15.43,14.97,3.88,0.22,0.84,0.21,4.42,3.13,14294.43
-400,4,United Kingdom,39720.44,17.91,17.24,7.86,0.27,1.12,0.41,5.01,4.34,16137.12
-200,5,United States,59531.66,22.08,21.03,12.9,0.34,0.8,0.37,6.08,5.17,19353.08
-200,5,United States Virgin Islands,34954.97,17.74,15.22,5.98,0.21,0.93,0.26,4.36,3.49,15637.07
-100,7,Uruguay,16245.6,16.7,19.06,16.8,0.21,0.92,0.25,6.43,3.86,16436.65
-600,1,Uzbekistan,1504.23,14.57,12.53,10.76,0.21,0.63,0.09,2.69,3.18,12998.15
-300,6,Vanuatu,3123.61,13.92,12.81,16.86,0.29,0.44,0.07,3.44,3.41,13159.53
-100,7,Venezuela,15692.41,14.16,12.41,9.43,0.21,0.79,0.18,2.93,3.09,12833.35
-600,1,Vietnam,2343.12,12.93,12.84,8.23,0.3,0.56,0.09,2.81,3.22,12382.57
-600,1,Yemen,660.28,16.71,16.92,6.55,0.17,0.8,0.11,5.09,4.35,16590.73
-700,2,Zambia,1509.8,16.58,14.67,17.69,0.19,0.6,0.09,3.35,4.16,15473.4
-700,2,Zimbabwe,1079.61,17.41,14.1,27.79,0.18,0.61,0.08,3.39,3.6,15384.28
